"name","cert_date","build_type","cert_name","cert_num","new_build"
"Olney Library",2015,"New Construction","Gold",2,1
"Bel Pre ES",2015,"Schools - New Construction","Gold",2,1
"Candlewood Elementary School",2015,"Schools - New Construction","Silver",3,1
"Herbert Hoover MS",2015,"Schools - New Construction","Gold",2,1
"Pike & Rose Block 12",2015,"New Construction","Certified",4,1
"Harris Teeter Store 409",2015,"Retail - New Construction","Certified",4,1
"Fenwick Station",2015,"New Construction","Gold",2,1
"Saint Patricks Parish Center",2015,"New Construction","Certified",4,1
"Wilson Wims Elementary School",2015,"Schools - New Construction","Gold",2,1
"Store 0469 Wheaton-Georgia Ave",2015,"Existing Buildings","Gold",2,0
"Store 0552 Bethesda-River Rd",2015,"Existing Buildings","Gold",2,0
"Store 0493 Germantown-Wisteria Dr",2015,"Existing Buildings","Gold",2,0
"Wheaton Apartments",2015,"New Construction","Silver",3,1
"The George Apartments",2015,"New Construction","Certified",4,1
"Crown Farms Buildings A & B",2015,"New Construction","Certified",4,1
"Equip. Maintenance and Operations Center",2014,"New Construction","Gold",2,1
"The Aurora at NBC",2014,"New Construction","Silver",3,1
"JBG 5635 Fishers Lane",2014,"Existing Buildings","Silver",3,0
"Aquilino Cancer Center",2014,"Core and Shell","Gold",2,1
"Weller Road ES",2014,"Schools - New Construction","Gold",2,1
"5601 Fishers Lane Base Building",2014,"Core and Shell","Gold",2,1
"4500 East West Highway LLC",2014,"Core and Shell","Platinum",1,1
"Aventura North",2014,"Retail - New Construction","Certified",4,1
"The Premier",2014,"New Construction","Silver",3,1
"Derwood Bible Church Expansion",2014,"New Construction","Silver",3,1
"Bethesda Crossing North",2014,"Existing Buildings","Gold",2,0
"Towneplace Suites at Frederick Maryland",2014,"New Construction","Silver",3,1
"Beverly Farms ES",2014,"Schools - New Construction","Gold",2,1
"Silver Spring Metro Plaza -8405",2014,"Existing Buildings","Gold",2,0
"Silver Spring Metro Plaza - 8401",2014,"Existing Buildings","Gold",2,0
"Silver Spring Metro Plaza - 8403",2014,"Existing Buildings","Gold",2,0
"Residence Inn Silver Spring",2014,"Existing Buildings","Gold",2,0
"The Gallery at Bethesda Phase 1",2014,"New Construction","Gold",2,1
"6700 Rockledge ste500",2014,"Commercial Interiors","Gold",2,0
"Plum Gar Recreation Center",2014,"New Construction","Silver",3,1
"Courtyard by Marriott at Aberdeen Airpor",2014,"New Construction","Certified",4,1
"Victory Crossing",NA,"New Construction","Platinum",1,1
"Safeway 2781",2014,"Retail - Commercial Interiors","Gold",2,0
"FDA Bldg 66 CDRH",2010,"New Construction","Gold",2,1
"Building One - FDA Consolidation",2010,"New Construction","Gold",2,1
"FDA Bldg 31-32 OC/ORA",2011,"New Construction","Gold",2,1
"FDA Bldg 2 CSU",2010,"New Construction","Silver",3,1
"Marriott Headquarters",2010,"Existing Buildings","Gold",2,0
"Two Rockledge Center",2014,"Existing Buildings","Gold",2,0
"3 White Flint North",2013,"New Construction","Gold",2,1
"Garrett Park Elementary School Addition",2014,"Schools - New Construction","Gold",2,1
"Courtyard by Marriott at Briarcliff",2014,"New Construction","Certified",4,1
"QIAGEN Germantown Campus Expansion",2014,"New Construction","Silver",3,1
"WB - 10th Fl Interior Renovation",2014,"Commercial Interiors","Silver",3,0
"ICF Rockville Floors 1 and 2",2014,"Commercial Interiors","Gold",2,0
"MandT DiamondFarms",2014,"New Construction","Certified",4,1
"Rockville Metro Plaza Phase II",2014,"Core and Shell","Platinum",1,1
"Glenallan ES",2014,"Schools - New Construction","Gold",2,1
"ASHA: Auerbach Law",2014,"Commercial Interiors","Silver",3,0
"Montgomery B",2014,"Existing Buildings","Gold",2,0
"Chevy Chase",2014,"Existing Buildings","Gold",2,0
"Lake Forest",2014,"Existing Buildings","Gold",2,0
"TD Bank - Olney MD - Town Center Dr",2014,"Retail - New Construction","Gold",2,1
"Milestone Building 3",2010,"Core and Shell","Gold",2,1
"Milestone Building 1",2010,"Existing Buildings","Silver",3,0
"12409 Milestone Center Drive",2013,"Core and Shell","Silver",3,1
"The Citron",2013,"New Construction","Silver",3,1
"Paint Branch High School",2013,"New Construction","Gold",2,1
"Adventist HealthCare - Support Center",2013,"Commercial Interiors","Gold",2,0
"9200 Corporate Boulevard",2013,"Existing Buildings","Gold",2,0
"Kohl's Silver Spring",2012,"Existing Buildings","Certified",4,0
"7201 Wisconsin Ave",2013,"Existing Buildings","Gold",2,0
"Buffington Building II",2013,"Core and Shell","Certified",4,1
"Flora M. Singer Elementary School",2013,"Schools - New Construction","Gold",2,1
"Cohen Rosen House",2013,"New Construction","Silver",3,1
"Bialek Environments",2013,"Commercial Interiors","Silver",3,0
"Building 41",2013,"Commercial Interiors","Certified",4,0
"7550 Wisconsin Avenue",2013,"Core and Shell","Gold",2,1
"Montgomery A",2013,"Existing Buildings","Gold",2,0
"GPI Rockville",2013,"Commercial Interiors","Platinum",1,0
"Skanska Rockville Office",2013,"Commercial Interiors","Gold",2,0
"Naval Exchange - Bethesda",2013,"New Construction","Gold",2,1
"OLBN Office Relocation",2013,"Commercial Interiors","Silver",3,0
"Olney Assisted Living",2013,"New Construction","Certified",4,1
"Democracy Center",2013,"Existing Buildings","Gold",2,0
"PNC Bank Branch Cabin John",2013,"Retail - Commercial Interiors","Silver",3,0
"FDA Child Care Center",2013,"New Construction","Gold",2,1
"Bethesda Place",2013,"Existing Buildings","Gold",2,0
"Tower One",2013,"Existing Buildings","Gold",2,0
"JBG 1 Choke Cherry Road LLC",2013,"Existing Buildings","Silver",3,0
"Takoma Park Public Works Facility",2013,"New Construction","Silver",3,1
"White Oak Recreation Center",2013,"New Construction","Gold",2,1
"NASDAQ OMX",2012,"Commercial Interiors","Gold",2,0
"The Boston Consulting Group",2011,"Commercial Interiors","Silver",3,0
"Lockheed Martin Gaithersburg182 3rd Flr",2013,"Commercial Interiors","Gold",2,0
"Kol Shalom Phase 1",2013,"New Construction","Gold",2,1
"1150 Ripley Street",2013,"New Construction","Gold",2,1
"Democracy 2",2012,"Existing Buildings","Certified",4,0
"Democracy 1",2012,"Existing Buildings","Silver",3,0
"Cabin John Middle School",2012,"Schools - New Construction","Gold",2,1
"Discovery Communications Global HQ",2007,"Existing Buildings","Platinum",1,0
"7700 Old Georgetown Road- Garden Plaza",2012,"Core and Shell","Gold",2,1
"Carderock Springs ES Modernization",2011,"Schools - New Construction","Gold",2,1
"Twinbrook Place",2010,"Core and Shell","Gold",2,1
"William B Gibbs ES (Clarksburg No 8)",2010,"New Construction","Gold",2,1
"12420 Parklawn Building",2010,"Core and Shell","Gold",2,1
"Ruppert Landscape Corporate Headquarters",2012,"New Construction","Gold",2,1
"One Washingtonian Center - Transwestern",2009,"Existing Buildings","Certified",4,0
"IBM Bethesda",2011,"Commercial Interiors","Gold",2,0
"Fitzgerald Toyota Certified Used",2010,"New Construction","Gold",2,1
"Discovery Child Care Center",2009,"Commercial Interiors","Gold",2,0
"German School Science Building",2012,"Schools - New Construction","Gold",2,1
"Two Wisconsin Circle",2011,"Existing Buildings","Certified",4,0
"The Newlands Building",2012,"Existing Buildings","Certified",4,0
"Four Irvington Centre",2012,"Existing Buildings","Gold",2,0
"Cashell Elementary School",2010,"Schools - New Construction","Gold",2,1
"MID-COUNTY RECREATION CENTER",2012,"New Construction","Certified",4,1
"NIST Child Care Center",2012,"New Construction","Gold",2,1
"M&T Bank Pike Center",2011,"New Construction","Gold",2,1
"Ingleside at King Farm",2010,"New Construction","Certified",4,1
"One Washingtonian Center recertification",2010,"Existing Buildings","Platinum",1,0
"Francis Scott Key Middle School",2009,"New Construction","Gold",2,1
"Global Environment Fund",2009,"Commercial Interiors","Gold",2,0
"ASHA New Headquarters Building",2008,"New Construction","Gold",2,1
"CBRE - Bethesda Office",2012,"Commercial Interiors","Silver",3,0
"10001 New Hampshire Avenue",2010,"Core and Shell","Gold",2,1
"Cresthaven ES",2011,"Schools - New Construction","Gold",2,1
"PNC Bank Branch - Wootton Parkway",2012,"Retail - New Construction","Silver",3,1
"Walter Reed National Military Medical Cr",2011,"New Construction","Gold",2,1
"Glenmont Station Parking Structure",2012,"New Construction","Silver",3,1
"GSA - CDER Storage Facility",2010,"Commercial Interiors","Silver",3,0
"Takoma Park Auditorium",2011,"Commercial Interiors","Silver",3,0
"Olney Town Center",2012,"New Construction","Certified",4,1
"AC Moore",2012,"Retail - Commercial Interiors","Certified",4,0
"EDGE Professional Services HQ",2012,"Commercial Interiors","Gold",2,0
"Germantown-East Fire Station #34",2012,"New Construction","Certified",4,1
"Cannon Road Elementary School",2012,"Schools - New Construction","Gold",2,1
"801 Thompson Avenue",2011,"Existing Buildings","Gold",2,0
"Montrose Metro I",2012,"Existing Buildings","Silver",3,0
"National Intrepid Center of Excellence",2010,"New Construction","Silver",3,1
"ICF Maryland: 530 Gaither Road",2012,"Commercial Interiors","Platinum",1,0
"Safeway 2797",2012,"Retail - New Construction","Gold",2,1
"Safeway 2848",2012,"Retail - New Construction","Gold",2,1
"Silver Spring Plaza",2010,"Existing Buildings","Certified",4,0
"Century Plaza",2011,"Core and Shell","Gold",2,1
"Monument Corporate Center 1",2008,"Core and Shell","Silver",3,1
"TD Bank - Gaithersburg MD - Shady Grove",2012,"New Construction","Gold",2,1
"TD Bank - Colesville Rd Silver Spring MD",2012,"Commercial Interiors","Silver",3,0
"Consumer Product Safety Commission",2011,"Commercial Interiors","Silver",3,0
"Blairs Residential Campus",2012,"Existing Buildings","Gold",2,0
"The Tower Building",2009,"Existing Buildings","Silver",3,0
"Gaithersburg Youth Center",2006,"New Construction","Certified",4,1
"Enviva LP",2011,"Commercial Interiors","Silver",3,0
"Seven Locks Elementary School",2012,"Schools - New Construction","Gold",2,1
"Howard Hughes Medical Institute - Headqu",2011,"New Construction","Gold",2,1
"Courtyard",2009,"New Construction","Gold",2,1
"Eastern Village Cohousing Condominium",2005,"New Construction","Silver",3,1
"The Tower Companies, Headquarters",2009,"Commercial Interiors","Platinum",1,0
"Reznick Group HQ",2012,"Commercial Interiors","Silver",3,0
"Great Seneca Elementary School",2007,"New Construction","Gold",2,1
"BAE Systems TSS - Redland",2011,"Commercial Interiors","Silver",3,0
"Blair Towns",2011,"Existing Buildings","Platinum",1,0
"PNC Bank Branch- Germantown",2009,"New Construction","Silver",3,1
"Herb Gordon Mercedes-Benz",2011,"New Construction","Certified",4,1
"One Main Financial, Rockville MD",2009,"Retail - Commercial Interiors","Certified",4,0
"Redland Center III",2010,"Core and Shell","Gold",2,1
"Redland Center II",2010,"Core and Shell","Gold",2,1
"Washingtonian Center South",2010,"Core and Shell","Gold",2,1
"Shady Grove Educational Center III",2007,"New Construction","Gold",2,1
"2000 Tower Oaks Boulevard",2009,"Core and Shell","Platinum",1,1
"P 701/796-WTU-Bldg 17",2012,"New Construction","Silver",3,1
"Farmland Elementary - Addition",2012,"Schools - New Construction","Gold",2,1
"McCarthy Wilson",2009,"Commercial Interiors","Gold",2,0
"Montgomery College Science Center",2012,"New Construction","Gold",2,1
"Gaithersburg Olde Towne Youth Center",2010,"New Construction","Platinum",1,1
"Blair Towns",2004,"New Construction","Certified",4,1
"Ruppert Landscape Shop Building",2012,"New Construction","Gold",2,1
"P-188/189 RDT&E Support Facility",2012,"New Construction","Gold",2,1
"CVS Pharmacy 1461",2011,"New Construction","Certified",4,1
"1200 East-West Highway",2012,"New Construction","Gold",2,1
"P701-WTU-Bldg 62",2012,"New Construction","Silver",3,1
"Montrose Crossing",2012,"Core and Shell","Certified",4,1
"Giant Burtonsville",2012,"Retail - New Construction","Silver",3,1
